iter	Passed	Remaining
0	2	198
1	3	195
2	6	204
3	8	198
4	10	198
5	12	198
6	14	197
7	17	199
8	19	198
9	21	195
10	24	194
11	25	189
12	27	186
13	29	182
14	31	178
15	33	175
16	35	173
17	37	171
18	39	169
19	41	166
20	43	164
21	45	161
22	47	159
23	49	157
24	51	155
25	53	153
26	56	151
27	58	149
28	59	146
29	62	145
30	64	143
31	66	141
32	68	138
33	70	137
34	72	135
35	74	132
36	76	130
37	78	128
38	80	126
39	82	124
40	84	121
41	86	119
42	88	117
43	90	115
44	92	113
45	94	111
46	96	109
47	98	107
48	100	104
49	102	102
50	104	100
51	106	98
52	108	96
53	110	94
54	112	92
55	114	90
56	116	87
57	118	85
58	120	83
59	122	81
60	124	79
61	126	77
62	128	75
63	130	73
64	132	71
65	134	69
66	136	67
67	138	65
68	140	63
69	142	60
70	144	58
71	146	56
72	148	54
73	150	52
74	152	50
75	154	48
76	156	46
77	158	44
78	160	42
79	162	40
80	164	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	182	20
90	184	18
91	186	16
92	187	14
93	190	12
94	192	10
95	194	8
96	196	6
97	198	4
98	200	2
99	202	0
