iter	Precision	Logloss
0	0.8744010088	0.6329659127
1	0.8788615909	0.5823023083
2	0.8926724138	0.5310413296
3	0.8913612565	0.4909604891
4	0.8925334484	0.4550748523
5	0.892787944	0.4308663684
6	0.8908058528	0.4075027211
7	0.8858249772	0.3858252941
8	0.8877161464	0.3657664605
9	0.8863533665	0.349325428
10	0.8914027149	0.3311383413
11	0.8907435508	0.3147825409
12	0.8874024526	0.3046644996
13	0.8883248731	0.2957288192
14	0.8897026187	0.2864016472
15	0.8894595802	0.2783220434
16	0.89133304	0.271175736
17	0.8956066946	0.2605096292
18	0.896522832	0.2556834408
19	0.8971452561	0.2497303059
20	0.8984034833	0.2427424059
21	0.8991976959	0.2361747756
22	0.8993205683	0.2328979242
23	0.8995901639	0.2266488923
24	0.8994046397	0.2226904902
25	0.901054339	0.2161800811
26	0.9011568906	0.2139749327
27	0.9005693371	0.2115354601
28	0.9000203625	0.2098249669
29	0.9016327353	0.2032158263
30	0.9020358799	0.199764072
31	0.9022722703	0.1983190134
32	0.9032453134	0.195282305
33	0.9043600563	0.1931129611
34	0.9047427653	0.1916198976
35	0.9058728882	0.1903082231
36	0.9074074074	0.1888424182
37	0.9081385979	0.1865879595
38	0.9094027441	0.1856489748
39	0.9107468124	0.1844649163
40	0.9117051438	0.1825340646
41	0.9119789559	0.1792014809
42	0.9137581169	0.1783710089
43	0.9161080642	0.1774363833
44	0.9173436231	0.1752278732
45	0.9184418746	0.1740695983
46	0.9189134401	0.1716245059
47	0.9211061407	0.1696505318
48	0.9223399918	0.1690007733
49	0.9233591521	0.1683280269
50	0.9245359984	0.1672332228
51	0.9251631321	0.1650848857
52	0.9254645701	0.1645272605
53	0.9270833333	0.1629905062
54	0.9286590352	0.1615862286
55	0.9289807614	0.161103989
56	0.9296842968	0.1601420561
57	0.9316221766	0.1595979549
58	0.9322521043	0.1589041444
59	0.9337039325	0.1582248924
60	0.9340049342	0.1564764649
61	0.9349660424	0.1561685125
62	0.9360345537	0.1557580105
63	0.9377319588	0.1551324498
64	0.9390495868	0.154804903
65	0.9405797101	0.1543895396
66	0.9411521784	0.1519612037
67	0.9425144748	0.1515845902
68	0.9431348222	0.1506720848
69	0.9433767307	0.1503602865
70	0.9439155629	0.1497994383
71	0.9437551696	0.1494964472
72	0.9447662391	0.1479007896
73	0.9464841319	0.1474356147
74	0.9470844574	0.1470969365
75	0.9474994812	0.146767594
76	0.9494487206	0.1460015382
77	0.9499896244	0.1446625801
78	0.9503311258	0.1433395901
79	0.9511285981	0.1429544126
80	0.9515427625	0.1426459191
81	0.9517027864	0.141602128
82	0.9527640264	0.1411657342
83	0.9535603715	0.1408164095
84	0.9551930622	0.1405707513
85	0.9555785124	0.1400197688
86	0.956028076	0.1390203646
87	0.9560371517	0.1387501536
88	0.955955335	0.1384664466
89	0.9566205329	0.1381464287
90	0.9562435501	0.1378222455
91	0.956665291	0.1374255399
92	0.9576446281	0.1370616835
93	0.9580057923	0.1367707896
94	0.9587906399	0.1365300819
95	0.9600331332	0.136146764
96	0.9606054323	0.1359564451
97	0.9608290155	0.1354536979
98	0.9624714908	0.1351313003
99	0.9642857143	0.1349628825
