iter	Passed	Remaining
0	7	710
1	12	604
2	18	595
3	24	580
4	29	558
5	34	543
6	39	526
7	45	519
8	50	512
9	56	508
10	62	501
11	67	494
12	72	485
13	78	480
14	83	474
15	89	469
16	94	463
17	99	454
18	105	450
19	110	443
20	116	439
21	122	432
22	127	427
23	133	422
24	139	417
25	145	413
26	151	408
27	156	402
28	162	397
29	167	391
30	173	385
31	178	379
32	184	373
33	189	368
34	195	363
35	201	357
36	206	352
37	212	346
38	218	341
39	223	335
40	229	329
41	234	324
42	240	319
43	246	313
44	252	308
45	257	302
46	263	297
47	268	291
48	274	285
49	280	280
50	285	274
51	290	268
52	296	263
53	302	257
54	308	252
55	313	246
56	318	240
57	324	234
58	329	229
59	334	223
60	340	217
61	345	211
62	351	206
63	356	200
64	362	195
65	369	190
66	376	185
67	381	179
68	387	174
69	394	168
70	400	163
71	406	158
72	412	152
73	418	147
74	424	141
75	430	135
76	436	130
77	442	124
78	448	119
79	455	113
80	460	108
81	466	102
82	473	97
83	479	91
84	484	85
85	490	79
86	495	74
87	501	68
88	506	62
89	512	56
90	517	51
91	523	45
92	528	39
93	533	34
94	538	28
95	544	22
96	550	17
97	555	11
98	560	5
99	566	0
