iter	Passed	Remaining
0	12	3719
1	26	3972
2	35	3558
3	44	3329
4	55	3275
5	74	3633
6	94	3966
7	104	3812
8	112	3649
9	125	3639
10	134	3528
11	148	3570
12	157	3486
13	167	3427
14	178	3389
15	187	3326
16	197	3281
17	210	3290
18	223	3300
19	233	3268
20	246	3276
21	257	3259
22	265	3200
23	275	3165
24	285	3140
25	294	3100
26	303	3064
27	313	3048
28	322	3013
29	331	2981
30	340	2955
31	351	2941
32	361	2923
33	371	2904
34	380	2879
35	389	2854
36	396	2821
37	406	2801
38	413	2767
39	422	2743
40	429	2712
41	436	2679
42	443	2650
43	452	2630
44	460	2612
45	471	2603
46	479	2578
47	488	2562
48	497	2548
49	506	2534
50	516	2520
51	525	2504
52	534	2491
53	543	2477
54	552	2461
55	560	2440
56	568	2422
57	577	2409
58	585	2390
59	592	2371
60	600	2353
61	608	2335
62	619	2328
63	628	2317
64	638	2308
65	646	2292
66	655	2280
67	662	2259
68	669	2241
69	676	2221
70	682	2202
71	690	2186
72	697	2169
73	705	2155
74	712	2138
75	719	2121
76	729	2111
77	736	2094
78	743	2078
79	749	2061
80	756	2044
81	762	2028
82	770	2013
83	777	2000
84	785	1986
85	791	1970
86	802	1964
87	811	1955
88	820	1946
89	829	1935
90	836	1922
91	845	1912
92	854	1901
93	865	1896
94	873	1885
95	881	1873
96	891	1865
97	898	1852
98	907	1842
99	916	1833
100	925	1824
101	934	1814
102	942	1803
103	951	1793
104	960	1784
105	970	1775
106	978	1765
107	987	1756
108	996	1746
109	1004	1735
110	1013	1725
111	1021	1714
112	1030	1704
113	1038	1694
114	1045	1681
115	1053	1671
116	1062	1661
117	1071	1652
118	1078	1641
119	1087	1631
120	1098	1625
121	1107	1616
122	1117	1607
123	1125	1597
124	1135	1589
125	1143	1579
126	1154	1572
127	1162	1562
128	1171	1553
129	1181	1544
130	1192	1539
131	1203	1531
132	1212	1522
133	1223	1515
134	1233	1508
135	1242	1498
136	1251	1489
137	1259	1479
138	1267	1467
139	1275	1457
140	1284	1448
141	1292	1437
142	1300	1427
143	1308	1417
144	1315	1406
145	1322	1395
146	1333	1388
147	1340	1376
148	1347	1365
149	1355	1355
150	1363	1345
151	1374	1337
152	1381	1327
153	1388	1316
154	1395	1305
155	1402	1294
156	1411	1286
157	1420	1276
158	1428	1266
159	1437	1258
160	1448	1250
161	1457	1241
162	1466	1232
163	1474	1222
164	1484	1214
165	1506	1216
166	1516	1207
167	1526	1199
168	1536	1191
169	1546	1182
170	1553	1171
171	1560	1161
172	1573	1155
173	1584	1147
174	1596	1140
175	1605	1131
176	1614	1121
177	1622	1111
178	1632	1103
179	1641	1094
180	1652	1086
181	1661	1076
182	1669	1067
183	1677	1057
184	1686	1048
185	1693	1038
186	1703	1029
187	1712	1020
188	1721	1011
189	1729	1001
190	1739	992
191	1748	983
192	1756	974
193	1765	964
194	1776	956
195	1784	947
196	1792	937
197	1802	928
198	1812	919
199	1820	910
200	1828	900
201	1838	891
202	1861	889
203	1884	886
204	1893	877
205	1902	868
206	1911	858
207	1922	850
208	1930	840
209	1940	831
210	1951	823
211	1960	813
212	1968	804
213	1978	795
214	1988	786
215	1997	776
216	2007	767
217	2018	759
218	2027	749
219	2035	740
220	2041	729
221	2050	720
222	2065	713
223	2073	703
224	2082	694
225	2090	684
226	2098	674
227	2106	665
228	2113	655
229	2120	645
230	2126	635
231	2135	625
232	2143	616
233	2152	607
234	2162	598
235	2169	588
236	2177	578
237	2186	569
238	2195	560
239	2203	550
240	2211	541
241	2219	531
242	2234	524
243	2242	514
244	2253	505
245	2260	496
246	2268	486
247	2276	477
248	2283	467
249	2292	458
250	2300	449
251	2307	439
252	2315	430
253	2324	420
254	2332	411
255	2341	402
256	2349	393
257	2357	383
258	2367	374
259	2377	365
260	2384	356
261	2392	347
262	2401	337
263	2410	328
264	2419	319
265	2428	310
266	2437	301
267	2445	292
268	2454	282
269	2461	273
270	2469	264
271	2478	255
272	2485	245
273	2494	236
274	2501	227
275	2509	218
276	2519	209
277	2528	200
278	2535	190
279	2542	181
280	2549	172
281	2558	163
282	2565	154
283	2573	144
284	2581	135
285	2590	126
286	2597	117
287	2605	108
288	2612	99
289	2620	90
290	2627	81
291	2634	72
292	2642	63
293	2647	54
294	2654	44
295	2660	35
296	2666	26
297	2671	17
298	2677	8
299	2683	0
